Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
294.67681	4.208	3.39609	1.68E-07	95.55407	5.46E-07
294.81693	4.206	3.39853	2.00E-07	95.55672	6.48E-07
294.95718	4.204	3.40092	2.36E-07	95.55918	7.68E-07
295.09757	4.202	3.40347	2.82E-07	95.56205	9.16E-07
295.2381	4.2	3.40638	3.40E-07	95.56518	1.11E-06
295.37875	4.198	3.40945	4.14E-07	95.56847	1.35E-06
295.51954	4.196	3.41248	5.02E-07	95.57171	1.64E-06
295.66047	4.194	3.41545	6.08E-07	95.57487	1.98E-06
295.80153	4.192	3.4183	7.32E-07	95.57789	2.39E-06
295.94272	4.19	3.42097	8.77E-07	95.58065	2.87E-06
296.08405	4.188	3.42344	1.04E-06	95.58338	3.41E-06
296.22551	4.186	3.42572	1.23E-06	95.5858	4.02E-06
296.36711	4.184	3.42781	1.44E-06	95.588	4.71E-06
296.50885	4.182	3.42971	1.67E-06	95.59003	5.47E-06
296.65072	4.18	3.43142	1.92E-06	95.59183	6.31E-06
296.79272	4.178	3.43296	2.21E-06	95.59342	7.24E-06
296.93487	4.176	3.43435	2.51E-06	95.5949	8.24E-06
297.07714	4.174	3.43572	2.86E-06	95.5964	9.39E-06
297.21956	4.172	3.4373	3.28E-06	95.59799	1.08E-05
297.36211	4.17	3.43905	3.79E-06	95.59983	1.25E-05
297.5048	4.168	3.44085	4.39E-06	95.6018	1.44E-05
297.64762	4.166	3.44267	5.08E-06	95.60372	1.67E-05
297.79059	4.164	3.44445	5.87E-06	95.60557	1.93E-05
297.93369	4.162	3.44616	6.77E-06	95.60729	2.23E-05
298.07692	4.16	3.44772	7.76E-06	95.60903	2.56E-05
298.2203	4.158	3.44908	8.83E-06	95.6104	2.91E-05
298.36381	4.156	3.45024	9.97E-06	95.61154	3.29E-05
298.50746	4.154	3.45122	1.12E-05	95.61259	3.69E-05
298.65125	4.152	3.45211	1.25E-05	95.61357	4.12E-05
298.79518	4.15	3.45298	1.39E-05	95.61452	4.60E-05
298.93925	4.148	3.45378	1.55E-05	95.61539	5.13E-05
299.08345	4.146	3.45463	1.73E-05	95.61626	5.72E-05
299.2278	4.144	3.45563	1.94E-05	95.61731	6.42E-05
299.37228	4.142	3.45677	2.19E-05	95.61851	7.25E-05
299.51691	4.14	3.45796	2.48E-05	95.61974	8.19E-05
299.66167	4.138	3.45904	2.79E-05	95.62086	9.22E-05
299.80658	4.136	3.45994	3.12E-05	95.62181	1.03E-04
299.95162	4.134	3.46068	3.46E-05	95.62257	1.15E-04
300.09681	4.132	3.46128	3.82E-05	95.62311	1.27E-04
300.24213	4.13	3.46179	4.21E-05	95.62375	1.39E-04
300.3876	4.128	3.46222	4.62E-05	95.62412	1.53E-04
300.5332	4.126	3.46258	5.06E-05	95.62454	1.67E-04
300.67895	4.124	3.46301	5.55E-05	95.625	1.84E-04
300.82484	4.122	3.46353	6.11E-05	95.6255	2.02E-04
300.97087	4.12	3.46411	6.75E-05	95.62613	2.23E-04
301.11705	4.118	3.46472	7.46E-05	95.62678	2.47E-04
301.26336	4.116	3.46534	8.24E-05	95.62732	2.73E-04
301.40982	4.114	3.46596	9.11E-05	95.62809	3.02E-04
301.55642	4.112	3.46652	1.01E-04	95.6286	3.33E-04
301.70316	4.11	3.46696	1.10E-04	95.62912	3.66E-04
301.85005	4.108	3.46724	1.20E-04	95.62935	3.99E-04
301.99708	4.106	3.46739	1.31E-04	95.62944	4.34E-04
302.14425	4.104	3.46754	1.42E-04	95.62966	4.71E-04
302.29157	4.102	3.46777	1.55E-04	95.62996	5.13E-04
